country_code,sportsdb_league_id,league_name,provider_season,schedule_matches,table_expected_matches,coverage_rate,unique_events,unique_teams,timestamps_valid,scores_valid,quality_status,quality_reason,error_detail
AUT,4621,Austrian Bundesliga,2013-2014,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/AUT/2013-2014.json
AUT,4621,Austrian Bundesliga,2014-2015,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/AUT/2014-2015.json
AUT,4621,Austrian Bundesliga,2015-2016,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/AUT/2015-2016.json
AUT,4621,Austrian Bundesliga,2016-2017,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/AUT/2016-2017.json
AUT,4621,Austrian Bundesliga,2017-2018,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/AUT/2017-2018.json
AUT,4621,Austrian Bundesliga,2018-2019,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/AUT/2018-2019.json
AUT,4621,Austrian Bundesliga,2019-2020,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/AUT/2019-2020.json
AUT,4621,Austrian Bundesliga,2020-2021,199,132,1.5075757575757576,199,13,True,True,ACCEPTED,ACCEPTED,
AUT,4621,Austrian Bundesliga,2021-2022,195,132,1.4772727272727273,195,12,True,True,ACCEPTED,ACCEPTED,
AUT,4621,Austrian Bundesliga,2022-2023,194,132,1.4696969696969697,194,12,True,True,ACCEPTED,ACCEPTED,
