candidate,ucl_matches,ucl_brier,clubelo_team_seasons,clubelo_rank_correlation,elite_cap_matches,elite_mean_rating_gap,ucl_brier_delta,clubelo_rank_correlation_delta,elite_mean_rating_gap_delta
c0_e1_x0,171,0.17517085513087813,78,0.8330277317619089,14,28.49401689756964,-0.0003603442723756345,-0.002453242959572055,20.461819589721586
c0_e1_x0p333333,171,0.17701661107817726,78,0.8210144286093652,14,32.41503900511959,0.001485411674923498,-0.01446654611211573,24.382841697271537
c0_e1_x0p666667,171,0.1790150524076675,78,0.8093046194312016,14,38.66023424510711,0.0034838530044137284,-0.026176355290279396,30.62803693725906
c0_e1_x1,171,0.18114745818036362,78,0.7972407339495946,14,49.8422218676361,0.0056162587771098615,-0.03824024077188637,41.81002455978805
c0p25_e0_x0,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0
c0p25_e0_x0p333333,171,0.1770101329107531,78,0.8153239165897394,14,11.89070954624583,0.001478933507499336,-0.020157058131741623,3.8585122383977772
c0p25_e0_x0p666667,171,0.1786363727076282,78,0.8057891475612994,14,18.42240167708459,0.003105173304374431,-0.029691827160181594,10.390204369236537
c0p25_e0_x1,171,0.18039701639212744,78,0.7803574690577754,14,24.95409380792343,0.004865816988873672,-0.05512350566370561,16.921896500075377
c0p25_e0p25_x0,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209
c0p25_e0p25_x0p333333,171,0.17670708972648164,78,0.8201545290152884,14,14.050310011123656,0.001175890323227874,-0.01532644570619257,6.018112703275603
c0p25_e0p25_x0p666667,171,0.1784104437328851,78,0.8055362359159827,14,22.056303684050622,0.0028792443296313253,-0.029944738805498305,14.02410637620257
c0p25_e0p25_x1,171,0.18025018889392408,78,0.7906650311713602,14,31.17612582285155,0.004718989490670317,-0.04481594355012075,23.143928515003495
c0p25_e0p5_x0,171,0.17497842284586135,78,0.8345704927983408,14,16.077272295857824,-0.0005527765573924148,-0.0009104819231401384,8.045074988009771
c0p25_e0p5_x0p333333,171,0.17661895251347925,78,0.8203568583315418,14,19.52458574709848,0.0010877531102254923,-0.015124116389939157,11.492388439250428
c0p25_e0p5_x0p666667,171,0.17841227578255517,78,0.8075848202430479,14,27.2030309584108,0.002881076379301406,-0.027896154478433077,19.17083365056275
c0p25_e0p5_x1,171,0.1803427065686387,78,0.791373183778247,14,37.3981578377797,0.004811507165384948,-0.044107790943234026,29.365960529931648
c0p25_e0p75_x0,171,0.17498904539870797,78,0.8330024405973773,14,22.21378748780855,-0.0005421540045457973,-0.002478534124103704,14.181590179960496
c0p25_e0p75_x0p333333,171,0.17672828687818,78,0.8214190872418718,14,25.737923076419438,0.0011970874749262506,-0.014061887479609125,17.705725768571384
c0p25_e0p75_x0p666667,171,0.17862107226540458,78,0.8081412258627448,14,32.93163260175879,0.0030898728621508165,-0.027339748858736135,24.89943529391074
c0p25_e0p75_x1,171,0.18065019983032837,78,0.792991818308274,14,43.62018985270775,0.00511900042707461,-0.04248915641320694,35.5879925448597
c0p25_e1_x0,171,0.17517085513087813,78,0.8330277317619089,14,28.49401689756964,-0.0003603442723756345,-0.002453242959572055,20.461819589721586
c0p25_e1_x0p333333,171,0.17701661107817726,78,0.8210144286093652,14,32.41503900511959,0.001485411674923498,-0.01446654611211573,24.382841697271537
c0p25_e1_x0p666667,171,0.1790150524076675,78,0.8093046194312016,14,38.66023424510711,0.0034838530044137284,-0.026176355290279396,30.62803693725906
c0p25_e1_x1,171,0.18114745818036362,78,0.7972407339495946,14,49.8422218676361,0.0056162587771098615,-0.03824024077188637,41.81002455978805
c0p5_e0_x0,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0
c0p5_e0_x0p333333,171,0.1770101329107531,78,0.8153239165897394,14,11.89070954624583,0.001478933507499336,-0.020157058131741623,3.8585122383977772
c0p5_e0_x0p666667,171,0.1786363727076282,78,0.8057891475612994,14,18.42240167708459,0.003105173304374431,-0.029691827160181594,10.390204369236537
c0p5_e0_x1,171,0.18039701639212744,78,0.7803574690577754,14,24.95409380792343,0.004865816988873672,-0.05512350566370561,16.921896500075377
c0p5_e0p25_x0,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209
c0p5_e0p25_x0p333333,171,0.17670708972648164,78,0.8201545290152884,14,14.050310011123656,0.001175890323227874,-0.01532644570619257,6.018112703275603
c0p5_e0p25_x0p666667,171,0.1784104437328851,78,0.8055362359159827,14,22.056303684050622,0.0028792443296313253,-0.029944738805498305,14.02410637620257
c0p5_e0p25_x1,171,0.18025018889392408,78,0.7906650311713602,14,31.17612582285155,0.004718989490670317,-0.04481594355012075,23.143928515003495
c0p5_e0p5_x0,171,0.17497842284586135,78,0.8345704927983408,14,16.077272295857824,-0.0005527765573924148,-0.0009104819231401384,8.045074988009771
c0p5_e0p5_x0p333333,171,0.17661895251347925,78,0.8203568583315418,14,19.52458574709848,0.0010877531102254923,-0.015124116389939157,11.492388439250428
c0p5_e0p5_x0p666667,171,0.17841227578255517,78,0.8075848202430479,14,27.2030309584108,0.002881076379301406,-0.027896154478433077,19.17083365056275
c0p5_e0p5_x1,171,0.1803427065686387,78,0.791373183778247,14,37.3981578377797,0.004811507165384948,-0.044107790943234026,29.365960529931648
c0p5_e0p75_x0,171,0.17498904539870797,78,0.8330024405973773,14,22.21378748780855,-0.0005421540045457973,-0.002478534124103704,14.181590179960496
c0p5_e0p75_x0p333333,171,0.17672828687818,78,0.8214190872418718,14,25.737923076419438,0.0011970874749262506,-0.014061887479609125,17.705725768571384
c0p5_e0p75_x0p666667,171,0.17862107226540458,78,0.8081412258627448,14,32.93163260175879,0.0030898728621508165,-0.027339748858736135,24.89943529391074
c0p5_e0p75_x1,171,0.18065019983032837,78,0.792991818308274,14,43.62018985270775,0.00511900042707461,-0.04248915641320694,35.5879925448597
c0p5_e1_x0,171,0.17517085513087813,78,0.8330277317619089,14,28.49401689756964,-0.0003603442723756345,-0.002453242959572055,20.461819589721586
c0p5_e1_x0p333333,171,0.17701661107817726,78,0.8210144286093652,14,32.41503900511959,0.001485411674923498,-0.01446654611211573,24.382841697271537
c0p5_e1_x0p666667,171,0.1790150524076675,78,0.8093046194312016,14,38.66023424510711,0.0034838530044137284,-0.026176355290279396,30.62803693725906
c0p5_e1_x1,171,0.18114745818036362,78,0.7972407339495946,14,49.8422218676361,0.0056162587771098615,-0.03824024077188637,41.81002455978805
c0p75_e0_x0,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0
c0p75_e0_x0p333333,171,0.1770101329107531,78,0.8153239165897394,14,11.89070954624583,0.001478933507499336,-0.020157058131741623,3.8585122383977772
c0p75_e0_x0p666667,171,0.1786363727076282,78,0.8057891475612994,14,18.42240167708459,0.003105173304374431,-0.029691827160181594,10.390204369236537
c0p75_e0_x1,171,0.18039701639212744,78,0.7803574690577754,14,24.95409380792343,0.004865816988873672,-0.05512350566370561,16.921896500075377
c0p75_e0p25_x0,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209
c0p75_e0p25_x0p333333,171,0.17670708972648164,78,0.8201545290152884,14,14.050310011123656,0.001175890323227874,-0.01532644570619257,6.018112703275603
c0p75_e0p25_x0p666667,171,0.1784104437328851,78,0.8055362359159827,14,22.056303684050622,0.0028792443296313253,-0.029944738805498305,14.02410637620257
c0p75_e0p25_x1,171,0.18025018889392408,78,0.7906650311713602,14,31.17612582285155,0.004718989490670317,-0.04481594355012075,23.143928515003495
c0p75_e0p5_x0,171,0.17497842284586135,78,0.8345704927983408,14,16.077272295857824,-0.0005527765573924148,-0.0009104819231401384,8.045074988009771
c0p75_e0p5_x0p333333,171,0.17661895251347925,78,0.8203568583315418,14,19.52458574709848,0.0010877531102254923,-0.015124116389939157,11.492388439250428
c0p75_e0p5_x0p666667,171,0.17841227578255517,78,0.8075848202430479,14,27.2030309584108,0.002881076379301406,-0.027896154478433077,19.17083365056275
c0p75_e0p5_x1,171,0.1803427065686387,78,0.791373183778247,14,37.3981578377797,0.004811507165384948,-0.044107790943234026,29.365960529931648
c0p75_e0p75_x0,171,0.17498904539870797,78,0.8330024405973773,14,22.21378748780855,-0.0005421540045457973,-0.002478534124103704,14.181590179960496
c0p75_e0p75_x0p333333,171,0.17672828687818,78,0.8214190872418718,14,25.737923076419438,0.0011970874749262506,-0.014061887479609125,17.705725768571384
c0p75_e0p75_x0p666667,171,0.17862107226540458,78,0.8081412258627448,14,32.93163260175879,0.0030898728621508165,-0.027339748858736135,24.89943529391074
c0p75_e0p75_x1,171,0.18065019983032837,78,0.792991818308274,14,43.62018985270775,0.00511900042707461,-0.04248915641320694,35.5879925448597
c0p75_e1_x0,171,0.17517085513087813,78,0.8330277317619089,14,28.49401689756964,-0.0003603442723756345,-0.002453242959572055,20.461819589721586
c0p75_e1_x0p333333,171,0.17701661107817726,78,0.8210144286093652,14,32.41503900511959,0.001485411674923498,-0.01446654611211573,24.382841697271537
c0p75_e1_x0p666667,171,0.1790150524076675,78,0.8093046194312016,14,38.66023424510711,0.0034838530044137284,-0.026176355290279396,30.62803693725906
c0p75_e1_x1,171,0.18114745818036362,78,0.7972407339495946,14,49.8422218676361,0.0056162587771098615,-0.03824024077188637,41.81002455978805
c1_e0_x0,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0
c1_e0_x0p333333,171,0.1770101329107531,78,0.8153239165897394,14,11.89070954624583,0.001478933507499336,-0.020157058131741623,3.8585122383977772
c1_e0_x0p666667,171,0.1786363727076282,78,0.8057891475612994,14,18.42240167708459,0.003105173304374431,-0.029691827160181594,10.390204369236537
c1_e0_x1,171,0.18039701639212744,78,0.7803574690577754,14,24.95409380792343,0.004865816988873672,-0.05512350566370561,16.921896500075377
c1_e0p25_x0,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209
c1_e0p25_x0p333333,171,0.17670708972648164,78,0.8201545290152884,14,14.050310011123656,0.001175890323227874,-0.01532644570619257,6.018112703275603
c1_e0p25_x0p666667,171,0.1784104437328851,78,0.8055362359159827,14,22.056303684050622,0.0028792443296313253,-0.029944738805498305,14.02410637620257
c1_e0p25_x1,171,0.18025018889392408,78,0.7906650311713602,14,31.17612582285155,0.004718989490670317,-0.04481594355012075,23.143928515003495
c1_e0p5_x0,171,0.17497842284586135,78,0.8345704927983408,14,16.077272295857824,-0.0005527765573924148,-0.0009104819231401384,8.045074988009771
c1_e0p5_x0p333333,171,0.17661895251347925,78,0.8203568583315418,14,19.52458574709848,0.0010877531102254923,-0.015124116389939157,11.492388439250428
c1_e0p5_x0p666667,171,0.17841227578255517,78,0.8075848202430479,14,27.2030309584108,0.002881076379301406,-0.027896154478433077,19.17083365056275
c1_e0p5_x1,171,0.1803427065686387,78,0.791373183778247,14,37.3981578377797,0.004811507165384948,-0.044107790943234026,29.365960529931648
c1_e0p75_x0,171,0.17498904539870797,78,0.8330024405973773,14,22.21378748780855,-0.0005421540045457973,-0.002478534124103704,14.181590179960496
c1_e0p75_x0p333333,171,0.17672828687818,78,0.8214190872418718,14,25.737923076419438,0.0011970874749262506,-0.014061887479609125,17.705725768571384
c1_e0p75_x0p666667,171,0.17862107226540458,78,0.8081412258627448,14,32.93163260175879,0.0030898728621508165,-0.027339748858736135,24.89943529391074
c1_e0p75_x1,171,0.18065019983032837,78,0.792991818308274,14,43.62018985270775,0.00511900042707461,-0.04248915641320694,35.5879925448597
c1_e1_x0,171,0.17517085513087813,78,0.8330277317619089,14,28.49401689756964,-0.0003603442723756345,-0.002453242959572055,20.461819589721586
c1_e1_x0p333333,171,0.17701661107817726,78,0.8210144286093652,14,32.41503900511959,0.001485411674923498,-0.01446654611211573,24.382841697271537
c1_e1_x0p666667,171,0.1790150524076675,78,0.8093046194312016,14,38.66023424510711,0.0034838530044137284,-0.026176355290279396,30.62803693725906
c1_e1_x1,171,0.18114745818036362,78,0.7972407339495946,14,49.8422218676361,0.0056162587771098615,-0.03824024077188637,41.81002455978805
