candidate,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_rank_mae,zero_exposure_extreme_overrank_count,pilot_guardrails_pass,pilot_guardrail_violations,pilot_top_team,pilot_top_rating,ratings,reference_band_share,median_rating,p90_rating,minimum_rating,maximum_rating,exact_500_or_2000_count,elite_duplicate_rating_count,distribution_guardrails_pass,historical_zero_guardrail_pass,all_competition_spearman_not_worse,all_competition_pairwise_not_worse,eligible,ucl_matches,ucl_brier,clubelo_team_seasons,clubelo_rank_correlation,elite_cap_matches,elite_mean_rating_gap,ucl_brier_delta,clubelo_rank_correlation_delta,elite_mean_rating_gap_delta,external_gate_pass,final_eligible
c0_e0_x0,0.4661194548949019,0.663530542956603,0.5089506162292847,0.23424558609429705,0.2053021651892354,39,True,,Arsenal,1992.8698752228167,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True,True,True,True,True,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0,True,True
c0p25_e0_x0,0.4661194548949019,0.663530542956603,0.5089506162292847,0.23424558609429705,0.2053021651892354,39,True,,Arsenal,1992.9792048595345,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True,True,True,True,True,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0,False,False
c0p5_e0_x0,0.4661194548949019,0.663530542956603,0.5089506162292847,0.23424558609429705,0.2053021651892354,39,True,,Arsenal,1993.0885117889532,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True,True,True,True,True,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0,False,False
c0p75_e0_x0,0.4661194548949019,0.663530542956603,0.5089506162292847,0.23424558609429705,0.2053021651892354,39,True,,Arsenal,1993.1977960393401,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True,True,True,True,True,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0,False,False
c1_e0_x0,0.4661194548949019,0.663530542956603,0.5089506162292847,0.23424558609429705,0.2053021651892354,39,True,,Arsenal,1993.307057638899,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True,True,True,True,True,171,0.17553119940325376,78,0.835480974721481,14,8.032197307848053,0.0,0.0,0.0,False,False
c0_e0p25_x0,0.4660695037698712,0.6634094891229859,0.5089506162292847,0.23433373229595528,0.2053021651892354,39,True,,Arsenal,2038.21342697111,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True,True,False,False,False,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209,False,False
c0p25_e0p25_x0,0.4660695037698712,0.6634094891229859,0.5089506162292847,0.23433373229595528,0.2053021651892354,39,True,,Arsenal,2038.322756607828,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True,True,False,False,False,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209,False,False
c0p5_e0p25_x0,0.4660695037698712,0.6634094891229859,0.5089506162292847,0.23433373229595528,0.2053021651892354,39,True,,Arsenal,2038.4320635372464,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True,True,False,False,False,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209,False,False
c0p75_e0p25_x0,0.4660695037698712,0.6634094891229859,0.5089506162292847,0.23433373229595528,0.2053021651892354,39,True,,Arsenal,2038.5413477876336,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True,True,False,False,False,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209,False,False
c1_e0p25_x0,0.4660695037698712,0.6634094891229859,0.5089506162292847,0.23433373229595528,0.2053021651892354,39,True,,Arsenal,2038.6506093871926,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True,True,False,False,False,171,0.17515436312947916,78,0.834798113279126,14,11.741591306728262,-0.0003768362737746056,-0.000682861442354965,3.709393998880209,False,False
